"famille","classes","ids","cles","formes","gloses","dependances","risque","decision_proposee","question_a_david"
"desastreux","F","184","DESASTREUX","DESASTREUX=[en:disastrous/adjective;es:desastroso/adjective;fr:désastreux/adjective;it:disastroso/adjective;pt:desastroso/adjective]","DESASTREUX:FR=qui cause un désastre;EN=disastrous","DESASTREUX:{""forms"":5,""inflected_forms"":1,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille desastreux ?"
"cotier","F","188","COTIER","COTIER=[en:coastal/adjective;es:costero/adjective;fr:côtier/adjective;it:costiero/adjective;pt:costeiro/adjective]","COTIER:FR=relatif à la côte;EN=coastal","COTIER:{""forms"":5,""inflected_forms"":1,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille cotier ?"
"continu_adjectif","F","191","CONTINU","CONTINU=[en:continuous/adjective;es:continuo/adjective;fr:continu/adjective;it:continuo/adjective;pt:contínuo/adjective]","CONTINU:FR=qui ne s'interrompt pas;EN=continuous","CONTINU:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille continu_adjectif ?"
"elever_elevation","C+D","195|216|222|318","ELEVATION|S_ELEVER_VERB|ELEVER|SE_LEVER_VERBE_PRONOMINAL","ELEVATION=[en:elevation/noun;es:elevación/noun;fr:élévation/noun;it:elevazione/noun;pt:elevação/noun] | S_ELEVER_VERB=[en:rise/verb;it:alzarsi/verb] | ELEVER=[es:elevar/verb;fr:élever/verb;it:elevare/verb;pt:elevar/verb] | SE_LEVER_VERBE_PRONOMINAL=[fr:se lever/verb;pt:erguer-se/verb]","ELEVATION:FR=action de monter, hausse;EN=elevation, rise | S_ELEVER_VERB:FR=monter à une certaine hauteur ou niveau;EN=to rise to a certain height or level | ELEVER:FR=monter, augmenter;EN=to raise, to increase | SE_LEVER_VERBE_PRONOMINAL:FR=S'élever, monter (ex : le niveau, la voix);EN=To rise or go up","ELEVATION:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | S_ELEVER_VERB:{""forms"":2,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | ELEVER:{""forms"":4,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | SE_LEVER_VERBE_PRONOMINAL:{""forms"":2,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille elever_elevation ?"
"risquer","C","223|250|267","RISQUER|RISK|RISQUER_VERB","RISQUER=[es:arriesgar/verb;fr:risquer/verb;it:rischiare/verb;pt:arriscar/verb] | RISK=[en:risk/noun;es:riesgo/noun;fr:risque/noun;it:rischio/noun;pt:risco/noun] | RISQUER_VERB=[en:risk/verb]","RISQUER:FR=être en danger de;EN=to be in danger of | RISK:FR=Possibilité de dommage ou de danger;EN=Possibility of harm or danger | RISQUER_VERB:FR=Être en danger de subir un mal;EN=To be in danger of suffering harm","RISQUER:{""forms"":4,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | RISK:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | RISQUER_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille risquer ?"
"perdre","D","224|290","PERTE|PERDRE_VERB","PERTE=[es:pérdida/noun;fr:perte/noun;it:perdita/noun;pt:perda/noun] | PERDRE_VERB=[en:lose/verb;es:perder/verb;fr:perdre/verb;it:perdere/verb;pt:perder/verb]","PERTE:FR=action de perdre quelque chose;EN=act of losing something | PERDRE_VERB:FR=cesser d'avoir, égarer;EN=to cease to have, to lose","PERTE:{""forms"":4,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | PERDRE_VERB:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","proximité lexicale mais distinction sémantique/POS probable","maintenir distinct en attente d'une règle de nommage","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille perdre ?"
"habitat","C+D","226|325","HABITATION|HABITAT","HABITATION=[es:habitación/noun;fr:habitation/noun;it:abitazione/noun;pt:habitação/noun] | HABITAT=[en:habitat/noun;es:hábitat/noun;fr:habitat/noun;it:habitat/noun;pt:habitat/noun]","HABITATION:FR=lieu où l'on habite;EN=place where one lives | HABITAT:FR=Lieu où vit un organisme vivant;EN=Place where a living organism lives","HABITATION:{""forms"":4,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | HABITAT:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille habitat ?"
"provoquer","F","232","PROVOQUER","PROVOQUER=[es:provocar/verb;fr:provoquer/verb;it:provocare/verb;pt:provocar/verb]","PROVOQUER:FR=causer ou déclencher;EN=to cause or trigger","PROVOQUER:{""forms"":4,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille provoquer ?"
"subir","C","233|270","SUBIR|SUBIR_VERB","SUBIR=[fr:subir/verb;it:subire/verb] | SUBIR_VERB=[en:undergo/verb]","SUBIR:FR=endurer, supporter un effet ou une action;EN=to endure or undergo an effect or action | SUBIR_VERB:FR=Endurer quelque chose de négatif;EN=To endure something negative","SUBIR:{""forms"":2,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | SUBIR_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille subir ?"
"cause","D","275","CAUSE_NOUN","CAUSE_NOUN=[en:cause/noun;es:causa/noun;fr:cause/noun;it:causa/noun;pt:causa/noun]","CAUSE_NOUN:FR=Raison ou motif d'un événement;EN=Reason or motive of an event","CAUSE_NOUN:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","proximité lexicale mais distinction sémantique/POS probable","maintenir distinct en attente d'une règle de nommage","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille cause ?"
"ruiner","C+F","256|277|284|308|322","RUIN|RUINER_VERB|RUIINER_VERB|RUINER|RUI_NER","RUIN=[en:ruin/verb;es:arruinar/verb;fr:ruiner/verb;it:rovinare/verb;pt:arruinar/verb] | RUINER_VERB=[] | RUIINER_VERB=[] | RUINER=[en:to ruin/verb] | RUI_NER=[]","RUIN:FR=Détruire partiellement ou totalement une chose;EN=To destroy partially or totally something | RUINER_VERB:FR=Détruire ou causer un grand dommage;EN=To destroy or cause great damage | RUIINER_VERB:FR=détruire ou abîmer gravement;EN=to destroy or severely damage | RUINER:FR=détruire, rendre inutilisable;EN=to destroy, to make unusable | RUI_NER:FR=Détruire, causer un dommage important;EN=To destroy or cause major damage","RUIN:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | RUINER_VERB:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | RUIINER_VERB:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | RUINER:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | RUI_NER:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille ruiner ?"
"absence","F","271","ABSENCE_NOUN","ABSENCE_NOUN=[en:absence/noun;es:ausencia/noun;fr:absence/noun;it:assenza/noun;pt:ausência/noun]","ABSENCE_NOUN:FR=Manque ou absence de quelque chose;EN=Lack or absence of something","ABSENCE_NOUN:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille absence ?"
"eau","F","272","EAU_NOUN","EAU_NOUN=[en:water/noun;es:agua/noun;fr:eau/noun;it:acqua/noun;pt:água/noun]","EAU_NOUN:FR=Substance liquide essentielle à la vie;EN=Liquid substance essential for life","EAU_NOUN:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille eau ?"
"devenir","D","276|307","DEVENIR_VERB|DEVENIR","DEVENIR_VERB=[en:become/verb;es:convertirse/verb;fr:devenir/verb;it:diventare/verb;pt:tornar-se/verb] | DEVENIR=[en:to become/verb]","DEVENIR_VERB:FR=Se transformer en quelque chose d'autre;EN=To become or change into something else | DEVENIR:FR=changer d'état ou d'état d'être;EN=to change state or condition","DEVENIR_VERB:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | DEVENIR:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","proximité lexicale mais distinction sémantique/POS probable","maintenir distinct en attente d'une règle de nommage","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille devenir ?"
"humain_adjectif","D","280","HUMAIN_ADJECTIVE","HUMAIN_ADJECTIVE=[en:human/adjective;es:humano/adjective;fr:humain/adjective;it:umano/adjective;pt:humano/adjective]","HUMAIN_ADJECTIVE:FR=Relatif à l'être humain;EN=Relating to human beings","HUMAIN_ADJECTIVE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","proximité lexicale mais distinction sémantique/POS probable","maintenir distinct en attente d'une règle de nommage","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille humain_adjectif ?"
"signal_de_article","F","300","DE_ARTICLE","DE_ARTICLE=[]","DE_ARTICLE:FR=préposition indiquant la possession ou la matière;EN=preposition indicating possession or material","DE_ARTICLE:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille signal_de_article ?"
"autre","D","302|320","AUTRE|AUTRE_DETERMINANT","AUTRE=[en:other/adjective;es:otro/adjective;fr:autre/adjective;it:altro/adjective;pt:outro/adjective] | AUTRE_DETERMINANT=[]","AUTRE:FR=quelque chose ou quelqu’un de différent;EN=something or someone different | AUTRE_DETERMINANT:FR=Indique une chose différente ou supplémentaire;EN=Indicates a different or additional thing","AUTRE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | AUTRE_DETERMINANT:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","proximité lexicale mais distinction sémantique/POS probable","maintenir distinct en attente d'une règle de nommage","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille autre ?"
